dataset_id	signature	comparison	pearson_r	pearson_pvalue	spearman_rho	spearman_pvalue	n	pearson_fdr	spearman_fdr
GSE163211	Endothelial cells	prior_signature_vs_endotype_1	0.130739788046026	0.10605880507842053	-0.011790992056646707	0.8846040757569349	154	0.13618914743024454	0.9005428879327355
GSE163211	Hepatocytes	prior_signature_vs_endotype_1	0.32902443242501717	3.094105476815494e-05	0.4339108077248495	1.8898192895638576e-08	154	4.9244213926781805e-05	4.745546216015909e-08
GSE163211	Kupffer cells	prior_signature_vs_endotype_1	0.35806385792871565	5.131235336239854e-06	0.12508111749098466	0.12219008289584342	154	8.785296863562173e-06	0.1587066593934518
GSE163211	Liver aging signature	prior_signature_vs_endotype_1	0.36831971482254716	2.6043993205618442e-06	0.3840130773717112	8.811119755076968e-07	154	4.673348901142192e-06	1.7779580934351739e-06
GSE163211	NASH signature	prior_signature_vs_endotype_1	0.36831345961646683	2.6054954050615764e-06	0.4664662345876768	1.0785788315237945e-09	154	4.673348901142192e-06	3.2073528411102306e-09
GSE163211	NK cells	prior_signature_vs_endotype_1	0.7147651743450257	2.2306342298346785e-25	0.652171484429549	5.106861717078456e-20	154	1.9389359074716822e-24	4.808961450248879e-19
GSE48452	B cells	prior_signature_vs_endotype_1	0.20644611575038324	0.08876874434851696	0.2213006941907198	0.06763836278375625	69	0.11930180953020911	0.0920859637899332
GSE48452	CD14+Monocytes	prior_signature_vs_endotype_1	0.1484853794320757	0.2233598614515547	0.21041286079649252	0.08267432592404934	69	0.2705071843804136	0.108630218946716
GSE48452	CD16+Monocytes	prior_signature_vs_endotype_1	0.4905953534800354	1.873664760048611e-05	0.49828279137742065	1.3189104253759419e-05	69	3.068465476601349e-05	2.258134516173961e-05
GSE48452	CD4 T-cell signature	prior_signature_vs_endotype_1	0.00381931582339695	0.9751529996099367	0.040628425283156744	0.7402997070449162	69	0.9751529996099367	0.7891874235478824
GSE48452	CD8 T-cell signature	prior_signature_vs_endotype_1	-0.07222043198618884	0.555378905274128	-0.06540007307270736	0.5934098093543436	69	0.6092991873395773	0.6465614026043539
GSE48452	Cholangiocytes	prior_signature_vs_endotype_1	0.44104409418022655	0.00014879300164798935	0.4845816587504567	2.451551673564533e-05	69	0.0002303234135099013	4.134706553922272e-05
GSE48452	Endothelial cells	prior_signature_vs_endotype_1	0.35022072698992834	0.0031772484244576562	0.3341980270369017	0.005007922882067625	69	0.004724066736364673	0.007445990600968969
GSE48452	Fibrosis signature	prior_signature_vs_endotype_1	0.23512578422965644	0.05180151168794751	0.29926927292656197	0.012488163782781057	69	0.07138501000900084	0.01809182701864435
GSE48452	HSC TGF-beta signature	prior_signature_vs_endotype_1	0.2528631927558198	0.03605871758665191	0.21669711362805996	0.07370287434896687	69	0.050304136880144026	0.09914791430277686
GSE48452	Hepatocytes	prior_signature_vs_endotype_1	0.3696169581760517	0.0017740230119207294	0.3580197296309829	0.002524354925101133	69	0.0026728613379605657	0.0038547581964382166
GSE48452	Kupffer cells	prior_signature_vs_endotype_1	0.22964723201093357	0.057670045081067545	0.2554621848739496	0.03412841738122893	69	0.07851463968868232	0.0476112489392453
GSE48452	Liver aging signature	prior_signature_vs_endotype_1	0.20375673252839913	0.0930980999051218	0.2246985750822068	0.06342485908740453	69	0.12232657313114842	0.08740254971800868
GSE48452	Macrophages	prior_signature_vs_endotype_1	0.14795899958030553	0.22502367550229097	0.15527950310559008	0.20265346739060916	69	0.2705071843804136	0.251646613353174
GSE48452	Macrophages C0	prior_signature_vs_endotype_1	0.39283313265060993	0.0008413752965460783	0.4438436244062844	0.00013345739541235335	69	0.0012848028176987412	0.00021240402368444971
GSE48452	Macrophages C1	prior_signature_vs_endotype_1	0.2956683880047105	0.01364197328417812	0.29170624771647796	0.015016782343978708	69	0.01951320229255858	0.021479701327463217
GSE48452	Macrophages C2	prior_signature_vs_endotype_1	0.13036053143321705	0.28568419513630555	0.14015345268542204	0.2507154777032125	69	0.33280736134435596	0.3013920104304576
GSE48452	Monocytes	prior_signature_vs_endotype_1	0.11156441556247401	0.3614282674197629	0.17804165144318598	0.1432953928750188	69	0.4096036062698451	0.18193684713345085
GSE48452	NAFL signature	prior_signature_vs_endotype_1	-0.018294308256144007	0.881395679744081	-0.06510778224333212	0.5950653616889628	69	0.8892652840275103	0.6465614026043539
GSE48452	NASH signature	prior_signature_vs_endotype_1	0.1113215404658577	0.3624810674954382	0.14278407014979905	0.24184245866441575	69	0.4096036062698451	0.2938515895599891
GSE48452	NK cells	prior_signature_vs_endotype_1	-0.026422420425685284	0.8293704712642754	-0.002301790281329924	0.9850239305184888	69	0.8598060848886525	0.9850239305184888
GSE48452	Profibrotic Macrophages	prior_signature_vs_endotype_1	0.4497335646525854	0.00010582973397548585	0.46642309097552065	5.357718319515472e-05	69	0.00016609388804485973	8.774234349351426e-05
GSE49541	B cells	prior_signature_vs_endotype_1	0.12836383356688513	0.28255670153893686	0.1824876197826227	0.12496243579327573	72	0.33280736134435596	0.1604631277800018
GSE49541	CD14+Monocytes	prior_signature_vs_endotype_1	-0.061080164926488136	0.6102700646468019	-0.10019936973438809	0.40233956793615727	72	0.6567668314770344	0.45923607249278553
GSE49541	CD16+Monocytes	prior_signature_vs_endotype_1	0.4936362266179829	1.0522439849272673e-05	0.49868158724033707	8.263481052825028e-06	72	1.7746801536833016e-05	1.55628893161538e-05
GSE49541	CD4 T-cell signature	prior_signature_vs_endotype_1	0.19641409747994668	0.09820658932089409	0.26365039552382796	0.025237514196108958	72	0.12755568498001185	0.035647988802003906
GSE49541	CD8 T-cell signature	prior_signature_vs_endotype_1	0.1458678916812435	0.22147331310136764	0.14811241880506784	0.2143688250537473	72	0.2705071843804136	0.2633008394681896
GSE49541	Cholangiocytes	prior_signature_vs_endotype_1	0.07483624627230365	0.532121960321753	0.003955238278989003	0.9736952765402096	72	0.5895076619250793	0.9823889843664615
GSE49541	Endothelial cells	prior_signature_vs_endotype_1	0.1596635420693526	0.18034565775953232	0.11804617660299699	0.3233569279623809	72	0.22897819468345115	0.384624556418411
GSE49541	Fibrosis signature	prior_signature_vs_endotype_1	0.09231860836230556	0.4405357637054957	0.06920059167792142	0.5635321966147728	72	0.49287664652199026	0.6243052766418562
GSE49541	HSC TGF-beta signature	prior_signature_vs_endotype_1	0.1510540903743798	0.2053032841396799	0.10798122065727701	0.36660072775124614	72	0.2577696789753759	0.4270709508854723
GSE49541	Hepatocytes	prior_signature_vs_endotype_1	0.5730193849380041	1.4390092476259226e-07	0.497716894977169	8.656839685907951e-06	72	2.903715088959451e-07	1.6036440729632765e-05
GSE49541	Kupffer cells	prior_signature_vs_endotype_1	0.053407000579182	0.6559147840185061	0.10129268763264519	0.39719857771068545	72	0.6926950522812261	0.45799427838068835
GSE49541	Liver aging signature	prior_signature_vs_endotype_1	0.26241479586852595	0.02595557339364549	0.30262396295581717	0.009771851543128226	72	0.03666224741852426	0.014340509407447917
GSE49541	Macrophages	prior_signature_vs_endotype_1	0.022821680819500093	0.8490865892757211	0.029841147340664998	0.8034889004199828	72	0.8722434962559681	0.8329747316280556
GSE49541	Macrophages C0	prior_signature_vs_endotype_1	0.2014361788071631	0.08974029920413959	0.20814843398289282	0.07933463920535336	72	0.11930180953020911	0.10546840270829329
GSE49541	Macrophages C1	prior_signature_vs_endotype_1	0.01915859659045755	0.8730893844479208	0.0286192038073188	0.8113841518393682	72	0.8888207247082438	0.8335128105258964
GSE49541	Macrophages C2	prior_signature_vs_endotype_1	0.06305725745186641	0.5987364565654525	0.040291980191652206	0.7368393896719092	72	0.6505501883836167	0.7891874235478824
GSE49541	Monocytes	prior_signature_vs_endotype_1	0.05375788735065925	0.6537981313342206	0.03575792655476237	0.7655495911638461	72	0.6926950522812261	0.8084776056216318
GSE49541	NAFL signature	prior_signature_vs_endotype_1	-0.12756860857956473	0.2855740665576266	-0.0985593928870024	0.4101238172926275	72	0.33280736134435596	0.46343991354066905
GSE49541	NASH signature	prior_signature_vs_endotype_1	0.10926735600554499	0.36088645953998816	0.09010225737989583	0.45163304348529215	72	0.4096036062698451	0.5052924149884952
GSE49541	NK cells	prior_signature_vs_endotype_1	0.14872898584941002	0.21244570547926725	0.1083027847449997	0.36516687705356093	72	0.26380620570502417	0.4270709508854723
GSE49541	Profibrotic Macrophages	prior_signature_vs_endotype_1	0.3421888408759018	0.0032596882406100928	0.3497652582159625	0.0025982590953480896	72	0.0047836983271290975	0.003914710370324454
