dataset_id	sample_id	signature	score
GSE48452	GSM1178992	Macrophages	0.8976244656053534
GSE48452	GSM1178992	Monocytes	0.747046532107664
GSE48452	GSM1178992	NK cells	1.0475224967422347
GSE48452	GSM1178992	CD14+Monocytes	-0.04832392397297808
GSE48452	GSM1178992	CD16+Monocytes	0.501936634601111
GSE48452	GSM1178992	Macrophages C0	0.6355864732235803
GSE48452	GSM1178992	Macrophages C1	0.6490973508666485
GSE48452	GSM1178992	Macrophages C2	0.47319671154343496
GSE48452	GSM1178992	Profibrotic Macrophages	0.216092430275887
GSE48452	GSM1178993	NASH signature	-0.6224143903583903
GSE48452	GSM1178993	Fibrosis signature	-0.5565303883758662
GSE48452	GSM1178993	NAFL signature	-0.19190552216430232
GSE48452	GSM1178993	Liver aging signature	0.019178585697816126
GSE48452	GSM1178993	HSC TGF-beta signature	-0.5562906026985862
GSE48452	GSM1178993	Hepatocytes	0.9859144683893512
GSE48452	GSM1178993	Cholangiocytes	-1.2073682605690568
GSE48452	GSM1178993	B cells	-0.26627066765743185
GSE48452	GSM1178993	CD4 T-cell signature	-0.012139386230012744
GSE48452	GSM1178993	CD8 T-cell signature	0.5320194231716766
GSE48452	GSM1178993	Endothelial cells	-0.9541551436883287
GSE48452	GSM1178993	Kupffer cells	-0.03878320907573031
