signature	rank	gene	source	doi	source_table
Liver aging signature	22	CFD	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	23	SNX10	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	24	IFI16	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	25	IGFBP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	26	FREM2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	27	CXCL10	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	28	CD74	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	29	LAPTM5	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Liver aging signature	30	CD83	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	1	COL7A1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	2	AMIGO2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	3	COMP	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	4	SERPINE2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	5	TGFBI	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	6	SEMA7A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	7	KDELR3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	8	PDLIM7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	9	STK38L	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	10	FSTL3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	11	TPM1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	12	PDGFC	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	13	SRA1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	14	TNFRSF12A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	15	SEC13	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	16	DLC1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	17	ITGBL1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
